"","V1","V2"
"1",31.95,7.95
"2",31.15,7.3
"3",30.45,6.65
"4",29.7,6
"5",28.9,5.55
"6",28.05,5
"7",27.2,4.55
"8",26.35,4.15
"9",25.4,3.85
"10",24.6,3.6
"11",23.6,3.3
"12",22.75,3.15
"13",21.85,3.05
"14",20.9,3
"15",20,2.9
"16",19.1,3
"17",18.2,3.2
"18",17.3,3.25
"19",16.55,3.5
"20",15.7,3.7
"21",14.85,4.1
"22",14.15,4.4
"23",13.4,4.75
"24",12.7,5.2
"25",12.05,5.65
"26",11.45,6.15
"27",10.9,6.65
"28",10.3,7.25
"29",9.7,7.85
"30",9.35,8.35
"31",8.9,9.05
"32",8.55,9.65
"33",8.15,10.35
"34",7.95,10.95
"35",7.75,11.7
"36",7.55,12.35
"37",7.45,13
"38",7.35,13.75
"39",7.3,14.35
"40",7.35,14.95
"41",7.35,15.75
"42",7.55,16.35
"43",7.7,16.95
"44",7.8,17.55
"45",8.05,18.15
"46",8.3,18.75
"47",8.65,19.3
"48",8.9,19.85
"49",9.3,20.3
"50",9.65,20.8
"51",10.2,21.25
"52",10.6,21.65
"53",11.1,22.15
"54",11.55,22.45
"55",11.95,22.7
"56",12.55,23
"57",13.05,23.2
"58",13.45,23.4
"59",14,23.55
"60",14.55,23.6
"61",15.1,23.75
"62",15.7,23.75
"63",16.15,23.85
"64",16.7,23.8
"65",17.15,23.75
"66",17.75,23.75
"67",18.2,23.6
"68",18.65,23.5
"69",19.1,23.35
"70",19.6,23.15
"71",20,22.95
"72",20.4,22.7
"73",20.7,22.55
"74",21,22.15
"75",21.45,21.95
"76",21.75,21.55
"77",22,21.25
"78",22.25,21
"79",22.5,20.7
"80",22.65,20.35
"81",22.75,20.05
"82",22.9,19.65
"83",23,19.35
"84",23.1,19
"85",23.15,18.65
"86",23.2,18.25
"87",23.2,18.05
"88",23.2,17.8
"89",23.1,17.45
"90",23.05,17.15
"91",22.9,16.9
"92",22.85,16.6
"93",22.7,16.4
"94",22.6,16.2
"95",22.55,16.05
"96",22.4,15.95
"97",22.35,15.8
"98",22.2,15.65
"99",22.15,15.55
"100",22,15.4
"101",21.9,15.3
"102",21.85,15.25
"103",21.75,15.15
"104",21.65,15.05
"105",21.55,15
"106",21.5,14.9
"107",19.35,31.65
"108",20.35,31.45
"109",21.35,31.1
"110",22.25,30.9
"111",23.2,30.45
"112",23.95,30.05
"113",24.9,29.65
"114",25.6,29.05
"115",26.35,28.5
"116",27.15,27.9
"117",27.75,27.35
"118",28.3,26.6
"119",28.95,25.85
"120",29.5,25.15
"121",29.95,24.45
"122",30.4,23.7
"123",30.6,22.9
"124",30.9,22.1
"125",31.25,21.3
"126",31.35,20.55
"127",31.5,19.7
"128",31.55,18.9
"129",31.65,18.15
